"18510518","TOTAL","T","DE228",2014,713
"18510519","TOTAL","T","DE229",2014,-27
"18510520","TOTAL","T","DE22A",2014,646
"18510521","TOTAL","T","DE22B",2014,414
"18510522","TOTAL","T","DE22C",2014,669
"18510523","TOTAL","T","DE23",2014,3532
"18510524","TOTAL","T","DE231",2014,-39
"18510525","TOTAL","T","DE232",2014,1425
"18510526","TOTAL","T","DE233",2014,131
"18510527","TOTAL","T","DE234",2014,-53
"18510528","TOTAL","T","DE235",2014,201
"18510529","TOTAL","T","DE236",2014,392
"18510530","TOTAL","T","DE237",2014,-94
"18510531","TOTAL","T","DE238",2014,1143
"18510532","TOTAL","T","DE239",2014,551
"18510533","TOTAL","T","DE23A",2014,-161
"18510534","TOTAL","T","DE24",2014,621
"18510535","TOTAL","T","DE241",2014,266
"18510536","TOTAL","T","DE242",2014,574
"18510537","TOTAL","T","DE243",2014,98
"18510538","TOTAL","T","DE244",2014,53
"18510539","TOTAL","T","DE245",2014,203
"18510540","TOTAL","T","DE246",2014,21
"18510541","TOTAL","T","DE247",2014,-115
"18510542","TOTAL","T","DE248",2014,393
"18510543","TOTAL","T","DE249",2014,-267
"18510544","TOTAL","T","DE24A",2014,-220
"18510545","TOTAL","T","DE24B",2014,-139
"18510546","TOTAL","T","DE24C",2014,82
"18510547","TOTAL","T","DE24D",2014,-333
"18510548","TOTAL","T","DE25",2014,10824
"18510549","TOTAL","T","DE251",2014,189
"18510550","TOTAL","T","DE252",2014,813
"18510551","TOTAL","T","DE253",2014,1630
"18510552","TOTAL","T","DE254",2014,5095
"18510553","TOTAL","T","DE255",2014,414
"18510554","TOTAL","T","DE256",2014,128
"18510555","TOTAL","T","DE257",2014,515
"18510556","TOTAL","T","DE258",2014,876
"18510557","TOTAL","T","DE259",2014,718
"18510558","TOTAL","T","DE25A",2014,130
"18510559","TOTAL","T","DE25B",2014,136
"18510560","TOTAL","T","DE25C",2014,161
"18510561","TOTAL","T","DE26",2014,278
"18510562","TOTAL","T","DE261",2014,241
"18510563","TOTAL","T","DE262",2014,133
"18510564","TOTAL","T","DE263",2014,327
"18510565","TOTAL","T","DE264",2014,141
"18510566","TOTAL","T","DE265",2014,-108
"18510567","TOTAL","T","DE266",2014,-177
"18510568","TOTAL","T","DE267",2014,-63
"18510569","TOTAL","T","DE268",2014,261
"18510570","TOTAL","T","DE269",2014,-191
"18510571","TOTAL","T","DE26A",2014,-253
"18510572","TOTAL","T","DE26B",2014,1
"18510573","TOTAL","T","DE26C",2014,-77
"18510574","TOTAL","T","DE27",2014,8503
"18510575","TOTAL","T","DE271",2014,2828
"18510576","TOTAL","T","DE272",2014,136
"18510577","TOTAL","T","DE273",2014,364
"18510578","TOTAL","T","DE274",2014,237
"18510579","TOTAL","T","DE275",2014,413
"18510580","TOTAL","T","DE276",2014,1085
"18510581","TOTAL","T","DE277",2014,-99
"18510582","TOTAL","T","DE278",2014,-3
"18510583","TOTAL","T","DE279",2014,754
"18510584","TOTAL","T","DE27A",2014,353
"18510585","TOTAL","T","DE27B",2014,437
"18510586","TOTAL","T","DE27C",2014,715
"18510587","TOTAL","T","DE27D",2014,687
"18510588","TOTAL","T","DE27E",2014,541
"18510589","TOTAL","T","DE30",2014,37102
"18510590","TOTAL","T","DE300",2014,37102
"18510591","TOTAL","T","DE40",2014,2411
"18510592","TOTAL","T","DE401",2014,3
"18510593","TOTAL","T","DE402",2014,309
"18510594","TOTAL","T","DE403",2014,-193
"18510595","TOTAL","T","DE404",2014,1459
"18510596","TOTAL","T","DE405",2014,772
"18510597","TOTAL","T","DE406",2014,486
"18510598","TOTAL","T","DE407",2014,-828
"18510599","TOTAL","T","DE408",2014,705
"18510600","TOTAL","T","DE409",2014,80
"18510601","TOTAL","T","DE40A",2014,1120
"18510602","TOTAL","T","DE40B",2014,-883
"18510603","TOTAL","T","DE40C",2014,-254
"18510604","TOTAL","T","DE40D",2014,-254
"18510605","TOTAL","T","DE40E",2014,1233
"18510606","TOTAL","T","DE40F",2014,-403
"18510607","TOTAL","T","DE40G",2014,-839
"18510608","TOTAL","T","DE40H",2014,550
"18510609","TOTAL","T","DE40I",2014,-676
"18510610","TOTAL","T","DE50",2014,2748
"18510611","TOTAL","T","DE501",2014,2482
"18510612","TOTAL","T","DE502",2014,269
"18510613","TOTAL","T","DE60",2014,12039
"18510614","TOTAL","T","DE600",2014,12039
"18510615","TOTAL","T","DE71",2014,27120
"18510616","TOTAL","T","DE711",2014,3082
"18510617","TOTAL","T","DE712",2014,8827
"18510618","TOTAL","T","DE713",2014,1841
"18510619","TOTAL","T","DE714",2014,1879
"18510620","TOTAL","T","DE715",2014,899
"18510621","TOTAL","T","DE716",2014,922
"18510622","TOTAL","T","DE717",2014,1980
"18510623","TOTAL","T","DE718",2014,1220
